months_as_customer,age,policy_bind_date,policy_state,policy_annual_premium,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,property_damage,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,policy_deductable_cat,umbrella_limit_cat,bodily_injuries_cat,incident_hour_cat,vehicles_involved_cat,witnesses_cat,policy_csl_cat
328,48,2014-10-17,OH,1406.91,MALE,MD,craft-repair,sleeping,husband,53300,0,2015-01-25,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,YES,YES,71610,6510,13020,52080,Saab,92x,2004,Y,Medium,None,Minor,Early Morning,Single Vehicle,Multiple Witnesses,Standard
228,42,2006-06-27,IN,1197.22,MALE,MD,machine-op-inspct,reading,other-relative,0,0,2015-01-21,Vehicle Theft,,Minor Damage,Police,VA,Riverwood,,,5070,780,780,3510,Mercedes,E400,2007,Y,High,Unknown,None,Morning,Single Vehicle,No Witness,Standard
134,29,2000-09-06,OH,1413.14,FEMALE,PhD,sales,board-games,own-child,35100,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,NO,NO,34650,7700,3850,23100,Dodge,RAM,2007,N,High,Unknown,Major,Morning,Multi-Vehicle,Multiple Witnesses,Basic
256,41,1990-05-25,IL,1415.74,FEMALE,PhD,armed-forces,board-games,unmarried,48900,-62400,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Police,OH,Arlington,,NO,63400,6340,6340,50720,Chevrolet,Tahoe,2014,Y,High,Unknown,Minor,Early Morning,Single Vehicle,Multiple Witnesses,Standard
228,44,2014-06-06,IL,1583.91,MALE,Associate,sales,board-games,unmarried,66000,-46000,2015-02-17,Vehicle Theft,,Minor Damage,,NY,Arlington,NO,NO,6500,1300,650,4550,Accura,RSX,2009,N,Medium,Unknown,None,Evening,Single Vehicle,Single Witness,Premium
256,39,2006-10-12,OH,1351.1,FEMALE,PhD,tech-support,bungie-jumping,unmarried,0,0,2015-01-02,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Arlington,NO,NO,64100,6410,6410,51280,Saab,95,2003,Y,Medium,None,None,Evening,Multi-Vehicle,Multiple Witnesses,Standard
137,34,2000-06-04,IN,1333.35,MALE,PhD,prof-specialty,board-games,husband,0,-77000,2015-01-13,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,,,78650,21450,7150,50050,Nissan,Pathfinder,2012,N,Medium,None,None,Early Morning,Multi-Vehicle,No Witness,Standard
165,37,1990-02-03,IL,1137.03,MALE,Associate,tech-support,base-jumping,unmarried,0,0,2015-02-27,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,,YES,51590,9380,9380,32830,Audi,A5,2015,N,Medium,None,Major,Evening,Multi-Vehicle,Multiple Witnesses,Basic
27,33,1997-02-05,IL,1442.99,FEMALE,PhD,other-service,golf,own-child,0,0,2015-01-30,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,NO,YES,27700,2770,2770,22160,Toyota,Camry,2012,N,Low,None,Minor,Evening,Single Vehicle,Single Witness,Basic
212,42,2011-07-25,IL,1315.68,MALE,PhD,priv-house-serv,camping,wife,0,-39300,2015-01-05,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Hillsdale,NO,,42300,4700,4700,32900,Saab,92x,1996,N,Low,None,Major,Afternoon,Single Vehicle,Single Witness,Basic
